model,model_id,form_id,answer_run_id,experiment_id,trial_id,usable,full_fill_success,stop_reason,verified_correctness,question_total,correctness_pct,action_count,duration_s,total_tokens,estimated_usd_lower_bound,failure_category,failure_detail,source_summary
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,accessibility_feedback,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260713T213010034413Z,true,false,done_incomplete_fill_only,7,8,87.5,32,1401.714,52164,0.078246,done_incomplete_fill_only,remaining_answers=1,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/accessibility_feedback/run_0002/trial_20260713T213010034413Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,alumni_checkin,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T050343266100Z,true,true,filled_without_submit,7,7,100.0,13,423.002,20309,0.030464,,,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/alumni_checkin/run_0002/trial_20260714T050343266100Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,bug_report,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T051046513802Z,true,false,done_incomplete_fill_only,8,9,88.89,27,916.72,44902,0.067353,done_incomplete_fill_only,remaining_answers=1,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/bug_report/run_0002/trial_20260714T051046513802Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,club_application,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260713T215333168702Z,true,false,max_steps_exceeded,4,10,40.0,32,1452.456,54265,0.081397,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/club_application/run_0002/trial_20260713T215333168702Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,club_event_planning,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260713T221745920583Z,true,false,max_steps_exceeded,4,10,40.0,32,1484.153,56827,0.08524,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/club_event_planning/run_0002/trial_20260713T221745920583Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,conf_interest,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260713T224230303936Z,true,true,filled_without_submit,7,7,100.0,25,1288.053,40282,0.060423,,,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/conf_interest/run_0002/trial_20260713T224230303936Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,conference_travel,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T052603527532Z,true,false,max_steps_exceeded,7,10,70.0,32,1146.533,54941,0.082411,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/conference_travel/run_0002/trial_20260714T052603527532Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,course_enrollment,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T003748558768Z,true,false,max_steps_exceeded,6,8,75.0,32,566.916,49656,0.074484,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/course_enrollment/run_0002/trial_20260710T003748558768Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,course_feedback,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T004715711545Z,true,false,max_steps_exceeded,5,9,55.56,32,585.324,52230,0.078345,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/course_feedback/run_0002/trial_20260710T004715711545Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,data_annotation,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T005701290230Z,true,false,max_steps_exceeded,5,9,55.56,32,644.151,54843,0.082265,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/data_annotation/run_0002/trial_20260710T005701290230Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,dataset_request,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T010745674688Z,true,false,max_steps_exceeded,5,9,55.56,32,745.616,53001,0.079502,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/dataset_request/run_0002/trial_20260710T010745674688Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,equipment_checkout,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260713T230358799950Z,true,false,max_steps_exceeded,5,9,55.56,32,1335.851,54227,0.08134,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/equipment_checkout/run_0002/trial_20260713T230358799950Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,event_rsvp,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T012011532649Z,true,true,filled_without_submit,6,6,100.0,17,281.301,25885,0.038828,,,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/event_rsvp/run_0002/trial_20260710T012011532649Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,exam_registration,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T012453107173Z,true,false,done_incomplete_fill_only,7,8,87.5,21,491.449,33314,0.049971,done_incomplete_fill_only,remaining_answers=1,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/exam_registration/run_0002/trial_20260710T012453107173Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,experiment_booking,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260713T232614942021Z,true,false,max_steps_exceeded,5,9,55.56,32,1424.3,51810,0.077715,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/experiment_booking/run_0002/trial_20260713T232614942021Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,field_trip,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260713T234959593607Z,true,false,max_steps_exceeded,6,8,75.0,32,1480.265,50443,0.075664,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/field_trip/run_0002/trial_20260713T234959593607Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,hackathon_signup,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T054510346304Z,true,false,max_steps_exceeded,8,9,88.89,32,1082.229,48480,0.07272,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/hackathon_signup/run_0002/trial_20260714T054510346304Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,housing_preference,run_0002,gemini_35_flash_fill_only_done_30_seed20260709_r2_step32,trial_20260710T013717343038Z,true,true,filled_without_submit,7,7,100.0,14,251.604,21906,0.032859,,,data/model_baselines/gemini_35_flash_fill_only_done_30_seed20260709_r2_step32/computer_use_gemini_35_flash_lowcost/housing_preference/run_0002/trial_20260710T013717343038Z/summary.json
Gemini 3.5 Flash,computer_use_gemini_35_flash_lowcost,internship_app,run_0002,gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32,trial_20260714T001440543999Z,true,false,max_steps_exceeded,6,12,50.0,32,1555.386,55755,0.083632,max_steps_exceeded,max_steps=32,data/model_baselines/gemini_35_flash_fill_only_done_50_completion_20260713_r2_step32/computer_use_gemini_35_flash_lowcost/internship_app/run_0002/trial_20260714T001440543999Z/summary.json
