form_id,answer_run_id,question_total,non_dropdown_total,baseline_correct,ruler_correct,baseline_accuracy_pct,ruler_accuracy_pct,accuracy_difference_pp,baseline_non_dropdown_correct,ruler_non_dropdown_correct,baseline_non_dropdown_accuracy_pct,ruler_non_dropdown_accuracy_pct,non_dropdown_difference_pp,baseline_full_fill,ruler_full_fill,baseline_action_count,ruler_action_count,action_difference,baseline_duration_s,ruler_duration_s,duration_difference_s,baseline_stop_reason,ruler_stop_reason,baseline_trial_id,ruler_trial_id,baseline_summary_path,ruler_summary_path,baseline_annotations_sha256,ruler_annotations_sha256
accessibility_feedback,run_0002,8,7,3,3,37.5,37.5,0.0,2,2,28.571429,28.571429,0.0,False,False,32,31,-1,547.643,541.736,-5.907000000000039,max_steps_exceeded,max_steps_exceeded,trial_20260729T115628042640Z,trial_20260807T150106851082Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/accessibility_feedback/run_0002/trial_20260729T115628042640Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/accessibility_feedback/run_0002/trial_20260807T150106851082Z/summary.json,3b19150680a8c85ded8a21ba86a179a77ae53d72bbe26de32f2705ed5b11d440,6d88149c298f513b2dcdb3f6a634bd067e682747a7aab1a0d11029fd3c10dfba
alumni_checkin,run_0002,7,7,3,4,42.857143,57.142857,14.285714,3,4,42.857143,57.142857,14.285714,False,False,32,32,0,481.424,501.672,20.248000000000047,max_steps_exceeded,max_steps_exceeded,trial_20260729T120536103922Z,trial_20260807T151008953147Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/alumni_checkin/run_0002/trial_20260729T120536103922Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/alumni_checkin/run_0002/trial_20260807T151008953147Z/summary.json,f0f4016f7bbef98dc2adda73266fbcbd45366e7e33477cb858766af508d33daf,98ebdd33959eb629b8df9712cc64e9207bc1bd68a7194dcb71732ed28b2a75b7
bug_report,run_0002,9,8,3,4,33.333333,44.444444,11.111111,3,4,37.5,50.0,12.5,False,False,32,8,-24,612.657,147.985,-464.672,max_steps_exceeded,repeated_action_loop,trial_20260729T121338019781Z,trial_20260807T151831151000Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/bug_report/run_0002/trial_20260729T121338019781Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/bug_report/run_0002/trial_20260807T151831151000Z/summary.json,b05932f9eb48518c2766727e98dc6e3171ced389aecaf85fbd5c6f4859d2c261,0108be256b347e98b7b6cbe72a605814987428b149ab5ed50feafa5a3d40012b
club_application,run_0002,10,10,3,3,30.0,30.0,0.0,3,3,30.0,30.0,0.0,False,False,32,32,0,560.271,600.025,39.75400000000002,max_steps_exceeded,max_steps_exceeded,trial_20260729T122351068503Z,trial_20260807T152100145493Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/club_application/run_0002/trial_20260729T122351068503Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/club_application/run_0002/trial_20260807T152100145493Z/summary.json,c254342c3076eb2313aff395abfb5cabed8939ac33eea751ca420c9eea6b5587,18bfc25c1cfb04259e0a4a3d79b0173957eb022c30ef07ac8aea77ef54c73364
club_event_planning,run_0002,10,9,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,False,False,32,32,0,649.853,624.474,-25.378999999999905,max_steps_exceeded,max_steps_exceeded,trial_20260729T123311735300Z,trial_20260807T153100880942Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/club_event_planning/run_0002/trial_20260729T123311735300Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/club_event_planning/run_0002/trial_20260807T153100880942Z/summary.json,2d329978fab0e1bab5b31684b6712466e56aca8614862662402ab9881c195fdd,1752ddd389f18da2344b78dd3c1723537bae19a2cc69b93c7dd3c7db51bf806e
conf_interest,run_0002,7,7,4,4,57.142857,57.142857,0.0,4,4,57.142857,57.142857,0.0,False,False,32,32,0,498.971,483.721,-15.25,max_steps_exceeded,max_steps_exceeded,trial_20260729T124402025679Z,trial_20260807T154128704245Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/conf_interest/run_0002/trial_20260729T124402025679Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/conf_interest/run_0002/trial_20260807T154128704245Z/summary.json,aba1d9c98a66fdc8abf01cd8362b0aa53fb7aaa9866d60cc4d10870b982f01ae,43ae806ce6cf62f1362639a808995303728981ad479e5da5df6bc8d8be17c621
conference_travel,run_0002,10,9,4,3,40.0,30.0,-10.0,4,3,44.444444,33.333333,-11.111111,False,False,32,32,0,615.15,579.172,-35.97799999999995,max_steps_exceeded,max_steps_exceeded,trial_20260729T125221502836Z,trial_20260807T154932806497Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/conference_travel/run_0002/trial_20260729T125221502836Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/conference_travel/run_0002/trial_20260807T154932806497Z/summary.json,d5f62d99a2e62ad59e1eb4c6dbd36c1a22a81df5b7ce6a177190e679b003a62b,f1eb458a2e8ae673140107f54a2404e161f109c5a59b6ad252f115b542cff0df
course_enrollment,run_0002,8,7,4,4,50.0,50.0,0.0,3,3,42.857143,42.857143,0.0,False,False,32,32,0,533.458,526.062,-7.395999999999958,max_steps_exceeded,max_steps_exceeded,trial_20260729T130237242703Z,trial_20260807T155912409707Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/course_enrollment/run_0002/trial_20260729T130237242703Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/course_enrollment/run_0002/trial_20260807T155912409707Z/summary.json,4944391ba55bf90128e2ae3ea277b5068e501ac29b1df6c93e0c414ceb1f8aab,459652429b31331e8315444e67b142cfa7e055af750e3666fc54e7404e44d8e0
course_feedback,run_0002,9,9,2,2,22.222222,22.222222,0.0,2,2,22.222222,22.222222,0.0,False,False,10,32,22,184.555,504.582,320.027,repeated_action_loop,max_steps_exceeded,trial_20260729T131131208545Z,trial_20260807T160758891962Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/course_feedback/run_0002/trial_20260729T131131208545Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/course_feedback/run_0002/trial_20260807T160758891962Z/summary.json,e6e3cfa34d1dbddc3a6c7817414afd696421d0c49cbd3c660fbaa2a115037b7a,7f024c4f9f8a2789454134e9b01b99179573b19d87d07c6b302982bbb93e85d2
data_annotation,run_0002,9,8,3,2,33.333333,22.222222,-11.111111,3,2,37.5,25.0,-12.5,False,False,32,32,0,557.842,548.298,-9.543999999999983,max_steps_exceeded,max_steps_exceeded,trial_20260729T131436224860Z,trial_20260807T161623867379Z,data/model_baselines/formfactory_style_opencua_fill_only_50_r2_step32_20260728/computer_use_opencua_32b/data_annotation/run_0002/trial_20260729T131436224860Z/summary.json,data/model_baselines/formfactory_style_opencua_ruler_fill_only_50_r2_step32_20260807/computer_use_opencua_32b/data_annotation/run_0002/trial_20260807T161623867379Z/summary.json,fbd0c9facf49dedbd553643af6ca78dd1215d2b0be5381306aa698d49eec7141,326271429af8158fd247357b42eb38f667eebe7164da530b7fe25efa927bd83e
