form_id,run_id,q_title,q_type,answer
course_feedback,run_0001,Course name,SHORT_TEXT,Avery Ortiz
course_feedback,run_0001,Your program level,SINGLE_CHOICE,Other
course_feedback,run_0001,Did you attend most sessions?,SINGLE_CHOICE,Partially
course_feedback,run_0001,Overall satisfaction,SINGLE_CHOICE,1 – Very dissatisfied
course_feedback,run_0001,Workload felt,SINGLE_CHOICE,Too low
course_feedback,run_0001,What did you like most?,PARAGRAPH,I would like to participate and contribute with structured feedback and observations. (What did you like most?; run 1)
course_feedback,run_0001,What should be improved?,PARAGRAPH,I am interested in this topic and can provide practical insights from recent projects. (What should be improved?; run 1)
course_feedback,run_0001,Most useful aspects,MULTI_CHOICE,Project work
course_feedback,run_0001,Would you recommend this course?,SINGLE_CHOICE,Yes
course_feedback,run_0002,Course name,SHORT_TEXT,Priya Khan
course_feedback,run_0002,Your program level,SINGLE_CHOICE,Master’s
course_feedback,run_0002,Did you attend most sessions?,SINGLE_CHOICE,No
course_feedback,run_0002,Overall satisfaction,SINGLE_CHOICE,5 – Very satisfied
course_feedback,run_0002,Workload felt,SINGLE_CHOICE,Too low
course_feedback,run_0002,What did you like most?,PARAGRAPH,"My background combines research and implementation, with a focus on reproducible workflows. (What did you like most?; run 2)"
course_feedback,run_0002,What should be improved?,PARAGRAPH,"My background combines research and implementation, with a focus on reproducible workflows. (What should be improved?; run 2)"
course_feedback,run_0002,Most useful aspects,MULTI_CHOICE,Assignments;Project work
course_feedback,run_0002,Would you recommend this course?,SINGLE_CHOICE,No
course_feedback,run_0003,Course name,SHORT_TEXT,Avery Patel
course_feedback,run_0003,Your program level,SINGLE_CHOICE,Other
course_feedback,run_0003,Did you attend most sessions?,SINGLE_CHOICE,No
course_feedback,run_0003,Overall satisfaction,SINGLE_CHOICE,4
course_feedback,run_0003,Workload felt,SINGLE_CHOICE,About right
course_feedback,run_0003,What did you like most?,PARAGRAPH,"My background combines research and implementation, with a focus on reproducible workflows. (What did you like most?; run 3)"
course_feedback,run_0003,What should be improved?,PARAGRAPH,"My background combines research and implementation, with a focus on reproducible workflows. (What should be improved?; run 3)"
course_feedback,run_0003,Most useful aspects,MULTI_CHOICE,Theory;Practical labs;Project work
course_feedback,run_0003,Would you recommend this course?,SINGLE_CHOICE,No
course_feedback,run_0004,Course name,SHORT_TEXT,Lena Patel
course_feedback,run_0004,Your program level,SINGLE_CHOICE,PhD
course_feedback,run_0004,Did you attend most sessions?,SINGLE_CHOICE,Partially
course_feedback,run_0004,Overall satisfaction,SINGLE_CHOICE,3
course_feedback,run_0004,Workload felt,SINGLE_CHOICE,Too low
course_feedback,run_0004,What did you like most?,PARAGRAPH,I would like to participate and contribute with structured feedback and observations. (What did you like most?; run 4)
course_feedback,run_0004,What should be improved?,PARAGRAPH,I am interested in this topic and can provide practical insights from recent projects. (What should be improved?; run 4)
course_feedback,run_0004,Most useful aspects,MULTI_CHOICE,Theory;Practical labs;Assignments
course_feedback,run_0004,Would you recommend this course?,SINGLE_CHOICE,No
course_feedback,run_0005,Course name,SHORT_TEXT,Taylor Rivera
course_feedback,run_0005,Your program level,SINGLE_CHOICE,Bachelor’s
course_feedback,run_0005,Did you attend most sessions?,SINGLE_CHOICE,Yes
course_feedback,run_0005,Overall satisfaction,SINGLE_CHOICE,3
course_feedback,run_0005,Workload felt,SINGLE_CHOICE,Too low
course_feedback,run_0005,What did you like most?,PARAGRAPH,"My background combines research and implementation, with a focus on reproducible workflows. (What did you like most?; run 5)"
course_feedback,run_0005,What should be improved?,PARAGRAPH,I would like to participate and contribute with structured feedback and observations. (What should be improved?; run 5)
course_feedback,run_0005,Most useful aspects,MULTI_CHOICE,Assignments
course_feedback,run_0005,Would you recommend this course?,SINGLE_CHOICE,No
course_feedback,run_0006,Course name,SHORT_TEXT,Morgan Kim
course_feedback,run_0006,Your program level,SINGLE_CHOICE,Other
course_feedback,run_0006,Did you attend most sessions?,SINGLE_CHOICE,Yes
course_feedback,run_0006,Overall satisfaction,SINGLE_CHOICE,3
course_feedback,run_0006,Workload felt,SINGLE_CHOICE,Too high
course_feedback,run_0006,What did you like most?,PARAGRAPH,"My background combines research and implementation, with a focus on reproducible workflows. (What did you like most?; run 6)"
course_feedback,run_0006,What should be improved?,PARAGRAPH,"My background combines research and implementation, with a focus on reproducible workflows. (What should be improved?; run 6)"
course_feedback,run_0006,Most useful aspects,MULTI_CHOICE,Theory;Practical labs;Assignments
course_feedback,run_0006,Would you recommend this course?,SINGLE_CHOICE,Yes
course_feedback,run_0007,Course name,SHORT_TEXT,Jordan Kim
course_feedback,run_0007,Your program level,SINGLE_CHOICE,PhD
course_feedback,run_0007,Did you attend most sessions?,SINGLE_CHOICE,No
course_feedback,run_0007,Overall satisfaction,SINGLE_CHOICE,5 – Very satisfied
course_feedback,run_0007,Workload felt,SINGLE_CHOICE,About right
course_feedback,run_0007,What did you like most?,PARAGRAPH,"My background combines research and implementation, with a focus on reproducible workflows. (What did you like most?; run 7)"
course_feedback,run_0007,What should be improved?,PARAGRAPH,I am interested in this topic and can provide practical insights from recent projects. (What should be improved?; run 7)
course_feedback,run_0007,Most useful aspects,MULTI_CHOICE,Theory;Practical labs;Project work
course_feedback,run_0007,Would you recommend this course?,SINGLE_CHOICE,Yes
course_feedback,run_0008,Course name,SHORT_TEXT,Jordan Singh
course_feedback,run_0008,Your program level,SINGLE_CHOICE,PhD
course_feedback,run_0008,Did you attend most sessions?,SINGLE_CHOICE,Partially
