form_id,answer_run_id,question_id,question_index,position_bucket,widget_type,expected_value_sha256,baseline_actual_value_sha256,ruler_actual_value_sha256,baseline_verified_correct,ruler_verified_correct,transition,baseline_annotations_sha256,ruler_annotations_sha256
accessibility_feedback,run_0002,q_001,1,first,short_text,ba64576418ec3669d4cb9a5e86b0bd5b98fc58914c93b5b2ee6c0900c00440f7,ba64576418ec3669d4cb9a5e86b0bd5b98fc58914c93b5b2ee6c0900c00440f7,ba64576418ec3669d4cb9a5e86b0bd5b98fc58914c93b5b2ee6c0900c00440f7,true,true,both_correct,3b19150680a8c85ded8a21ba86a179a77ae53d72bbe26de32f2705ed5b11d440,6d88149c298f513b2dcdb3f6a634bd067e682747a7aab1a0d11029fd3c10dfba
accessibility_feedback,run_0002,q_002,2,first,short_text,2dc9ed601c353cf719b3fd67b45b87ab1093bebf0748aabdf4a789a72efda0f3,2dc9ed601c353cf719b3fd67b45b87ab1093bebf0748aabdf4a789a72efda0f3,2dc9ed601c353cf719b3fd67b45b87ab1093bebf0748aabdf4a789a72efda0f3,true,true,both_correct,3b19150680a8c85ded8a21ba86a179a77ae53d72bbe26de32f2705ed5b11d440,6d88149c298f513b2dcdb3f6a634bd067e682747a7aab1a0d11029fd3c10dfba
accessibility_feedback,run_0002,q_003,3,first,dropdown,5c611cf0ce9ef67462d61e44885a60a6e1bbc1111b198a846e2c2ec3f0491eb6,5c611cf0ce9ef67462d61e44885a60a6e1bbc1111b198a846e2c2ec3f0491eb6,5c611cf0ce9ef67462d61e44885a60a6e1bbc1111b198a846e2c2ec3f0491eb6,true,true,both_correct,3b19150680a8c85ded8a21ba86a179a77ae53d72bbe26de32f2705ed5b11d440,6d88149c298f513b2dcdb3f6a634bd067e682747a7aab1a0d11029fd3c10dfba
accessibility_feedback,run_0002,q_004,4,middle,multi_choice,ccbbf2c70b1b47d4c11f9f7f185e2a5a0a788a7305a2bab12053be60086cf4d3,bde2cab86b5f9d97019f4f421833b172e3ab36c3265a8bf52863dbd010373db8,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,false,false,both_wrong,3b19150680a8c85ded8a21ba86a179a77ae53d72bbe26de32f2705ed5b11d440,6d88149c298f513b2dcdb3f6a634bd067e682747a7aab1a0d11029fd3c10dfba
accessibility_feedback,run_0002,q_005,5,middle,single_choice,b8e3a27c308548fd374abf8e26a6286b39ba103358076cb431ce51f0006e7740,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,false,false,both_wrong,3b19150680a8c85ded8a21ba86a179a77ae53d72bbe26de32f2705ed5b11d440,6d88149c298f513b2dcdb3f6a634bd067e682747a7aab1a0d11029fd3c10dfba
accessibility_feedback,run_0002,q_006,6,middle,date,533366558e1e6073a1f202ad19ab98653216626d84cc95294734decb973e131e,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,false,false,both_wrong,3b19150680a8c85ded8a21ba86a179a77ae53d72bbe26de32f2705ed5b11d440,6d88149c298f513b2dcdb3f6a634bd067e682747a7aab1a0d11029fd3c10dfba
accessibility_feedback,run_0002,q_007,7,last,paragraph_text,da7b2a5d4f91319e4085e948be88092ef37b9c68b126dc3117d7ac05bd5e9f4b,12ae32cb1ec02d01eda3581b127c1fee3b0dc53572ed6baf239721a03d82e126,12ae32cb1ec02d01eda3581b127c1fee3b0dc53572ed6baf239721a03d82e126,false,false,both_wrong,3b19150680a8c85ded8a21ba86a179a77ae53d72bbe26de32f2705ed5b11d440,6d88149c298f513b2dcdb3f6a634bd067e682747a7aab1a0d11029fd3c10dfba
accessibility_feedback,run_0002,q_008,8,last,single_choice,b2cbc4e2e5545a6c43f6f8cc8f0e4766773fa6c83d238076313b6fa1e349caf6,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,false,false,both_wrong,3b19150680a8c85ded8a21ba86a179a77ae53d72bbe26de32f2705ed5b11d440,6d88149c298f513b2dcdb3f6a634bd067e682747a7aab1a0d11029fd3c10dfba
alumni_checkin,run_0002,q_001,1,first,short_text,ad76e6a9ad87a03e0d21f87a693045f8bc933eea0a455ee9b9df3dfcfb9f99c2,ad76e6a9ad87a03e0d21f87a693045f8bc933eea0a455ee9b9df3dfcfb9f99c2,ad76e6a9ad87a03e0d21f87a693045f8bc933eea0a455ee9b9df3dfcfb9f99c2,true,true,both_correct,f0f4016f7bbef98dc2adda73266fbcbd45366e7e33477cb858766af508d33daf,98ebdd33959eb629b8df9712cc64e9207bc1bd68a7194dcb71732ed28b2a75b7
alumni_checkin,run_0002,q_002,2,first,short_text,abc513a49bd48d4b909a3e3d0353327a70bedad8059126bf316c188d4298ff68,3f7a0bb7b65f9c9262dcc24fdb7fafb02563804c142f677af96a008d991aab22,abc513a49bd48d4b909a3e3d0353327a70bedad8059126bf316c188d4298ff68,false,true,baseline_wrong_ruler_correct,f0f4016f7bbef98dc2adda73266fbcbd45366e7e33477cb858766af508d33daf,98ebdd33959eb629b8df9712cc64e9207bc1bd68a7194dcb71732ed28b2a75b7
alumni_checkin,run_0002,q_003,3,first,short_text,515110ce33a0f63532872c6624b06ca854e30a4cf6f5b41288137a54a22622dc,515110ce33a0f63532872c6624b06ca854e30a4cf6f5b41288137a54a22622dc,515110ce33a0f63532872c6624b06ca854e30a4cf6f5b41288137a54a22622dc,true,true,both_correct,f0f4016f7bbef98dc2adda73266fbcbd45366e7e33477cb858766af508d33daf,98ebdd33959eb629b8df9712cc64e9207bc1bd68a7194dcb71732ed28b2a75b7
alumni_checkin,run_0002,q_004,4,middle,single_choice,22b030be06b2e5b03a6b58441cc96e21ac32c733fbcd3b9e15d0280138ec492d,22b030be06b2e5b03a6b58441cc96e21ac32c733fbcd3b9e15d0280138ec492d,22b030be06b2e5b03a6b58441cc96e21ac32c733fbcd3b9e15d0280138ec492d,true,true,both_correct,f0f4016f7bbef98dc2adda73266fbcbd45366e7e33477cb858766af508d33daf,98ebdd33959eb629b8df9712cc64e9207bc1bd68a7194dcb71732ed28b2a75b7
alumni_checkin,run_0002,q_005,5,middle,multi_choice,5fd27379dc317f2d2477138f02f00897749d038a8cc9482daf9f001b942fbd55,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,false,false,both_wrong,f0f4016f7bbef98dc2adda73266fbcbd45366e7e33477cb858766af508d33daf,98ebdd33959eb629b8df9712cc64e9207bc1bd68a7194dcb71732ed28b2a75b7
